PROV_TERR,SITE_NO,SITE_NAME_NOM,DATE,TEMPERATURE (WATER),PH,TURBIDITY
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-01-06,4.885352143248175,4.933333,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-01-08,4.885352143248175,7.48,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-01-08,4.885352143248175,8.07,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-01-08,4.885352143248175,8.2,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-01-09,4.885352143248175,7.34,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-01-09,4.885352143248175,8.09,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-01-13,1.0,7.28,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-01-13,4.885352143248175,6.9,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-01-14,0.1,8.23,14.898467320261437
AB,AL06AD0001,"BEAVER RIVER AT BEAVER CROSSING,",2002-01-16,4.885352143248175,7.66,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-01-16,4.885352143248175,7.75,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-01-17,4.885352143248175,7.65,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-01-17,4.885352143248175,7.97,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-01-20,4.885352143248175,4.9,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-01-27,4.885352143248175,4.8,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-01-28,0.1,8.25,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-01-28,10.0,7.59,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-01-30,0.1,7.98,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-02-03,4.885352143248175,4.699999,14.898467320261437
AB,AL07AA0023,ATHABASCA RIVER AT HIGHWAY #16 BELOW SNARING RIVER,2002-02-05,4.885352143248175,8.19,14.898467320261437
AB,AL05BE0013,BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,2002-02-06,4.885352143248175,8.47,14.898467320261437
AB,AL05BA0011,BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,2002-02-06,4.885352143248175,8.14,14.898467320261437
BC,BC08NF0001,KOOTENAY RIVER AT KOOTENAY CROSSING,2002-02-11,0.1,8.2,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-02-11,1.0,7.63,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-02-12,4.885352143248175,4.8,14.898467320261437
MB,US05NF0001,SOURIS RIVER NEAR WESTHOPE,2002-02-12,4.885352143248175,7.56,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-02-13,0.1,7.91,14.898467320261437
AB,AL06AD0001,"BEAVER RIVER AT BEAVER CROSSING,",2002-02-13,4.885352143248175,7.74,14.898467320261437
MB,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",2002-02-13,4.885352143248175,7.65,14.898467320261437
MB,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",2002-02-14,4.885352143248175,7.87,14.898467320261437
MB,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",2002-02-14,4.885352143248175,7.63,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-02-18,4.885352143248175,4.699999,14.898467320261437
SK,SA05MD0002,ASSINIBOINE RIVER AT HWY 8 BRIDGE,2002-02-19,4.885352143248175,7.24,14.898467320261437
SK,SA05KH0002,"CARROT RIVER NEAR TURNBERRY,",2002-02-20,4.885352143248175,7.19,14.898467320261437
BC,AK08DC0001,"SALMON RIVER AT HYDER, ALASKA",2002-02-24,1.0,7.67,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-02-25,4.885352143248175,4.599999,14.898467320261437
YT,YT10AA0001,LIARD RIVER AT UPPER CROSSING,2002-02-27,0.1,8.12,14.898467320261437
NS,NS01ED0005,MERSEY R. BELOW MILL FALLS SW OF MAITLAND BRIDGE,2002-03-03,4.885352143248175,4.599999,14.898467320261437
AB,AL06AD0001,"BEAVER RIVER AT BEAVER CROSSING,",2002-03-06,4.885352143248175,7.61,14.898467320261437
